date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
31/05/2024,2,4,9,10,15,17,24,27,28,33,35,37,39,44,49,60,70,70,72,78,82,85,86,90,92,92,94
30/05/2024,8,12,12,16,25,26,28,29,30,31,32,32,38,43,44,48,52,52,61,62,68,68,71,84,89,92,96
29/05/2024,0,3,7,9,10,14,14,20,22,27,30,31,39,42,43,49,50,52,54,65,66,76,81,83,89,96,98
28/05/2024,3,11,12,14,25,29,30,32,32,35,37,41,43,53,55,57,57,63,75,79,80,80,80,81,90,91,94
27/05/2024,0,7,8,12,19,20,21,21,22,32,40,41,46,49,52,56,59,62,63,75,75,75,78,85,93,94,98
26/05/2024,8,8,12,15,15,33,34,40,52,52,59,61,67,69,69,70,72,73,75,78,78,80,85,88,92,98,99
25/05/2024,10,12,12,15,19,23,23,29,32,42,43,43,47,48,50,55,57,63,65,68,75,85,92,92,93,94,95
24/05/2024,2,3,4,9,10,10,11,12,14,19,21,22,30,46,60,60,64,65,70,71,77,79,80,81,82,88,98
23/05/2024,1,4,5,7,10,32,37,41,46,47,51,55,56,60,60,62,67,68,72,73,76,82,84,87,89,90,94
22/05/2024,6,8,8,12,17,22,26,26,30,36,40,43,44,45,55,61,62,62,64,68,74,75,76,78,87,95,97
21/05/2024,0,1,2,6,9,9,18,28,32,32,37,39,45,47,50,58,61,62,63,67,73,75,79,85,87,88,89
20/05/2024,8,10,20,22,22,24,25,45,49,50,52,52,52,53,61,66,67,69,72,75,81,86,89,90,91,95,98
19/05/2024,2,5,10,24,25,33,35,39,39,43,48,62,62,68,68,69,77,78,80,85,86,92,95,96,96,96,98
18/05/2024,4,4,5,7,9,17,18,19,22,22,22,22,25,34,39,47,53,61,64,65,69,70,76,80,82,87,94
17/05/2024,10,11,11,23,31,32,38,40,41,45,45,49,54,54,62,62,67,67,68,70,71,80,80,90,90,95,99
